Season,Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
2017-2018,294,41.87972,-87.62462,122 S MICHIGAN AVE,,CHICAGO,IL,60603,United States of America,Walgreens,http://www.Walgreens.com,312-973-3708,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 7:00 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details.,,2017-2018_294,"(41.87972, -87.62462)",34,38,14311,367,36
2018-2019,200,41.90896,-87.76512,1546 N CENTRAL AVE,,Chicago,IL,60651,United States of America,Walgreens,http://www.Walgreens.com,773-622-8185,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2018-2019_200,"(41.90896, -87.76512)",5,26,22615,599,45
2018-2019,138,41.8779,-87.63343,175 WEST JACKSON BOULEVARD,,Chicago,IL,60604,United States of America,CVS/pharmacy,http://www.cvs.com,312-356-8311,,09/01/2018,09/01/2020,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon: 6:30 AM-7:00 PM, Tue: 6:30 AM-7:00 PM, Wed: 6:30 AM-7:00 PM, Thu: 6:30 AM-7:00 PM, Fri: 6:30 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2018-2019_138,"(41.8779, -87.63343)",29,38,14912,92,36
2014-2015,160,41.883056,-87.628635,15 W WASHINGTON ST,,CHICAGO,IL,60602,United States of America,Walgreens,http://www.Walgreens.com,,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 7:00 AM-8:00 PM, Sat: Closed, Sun: Closed",,,,2014-2015_160,"(41.883056, -87.628635)",41,38,14310,92,36
2018-2019,137,41.88347,-87.6342,208 WEST WASHINGTON,,Chicago,IL,60606,United States of America,CVS/pharmacy,http://www.cvs.com,312-201-5921,,09/01/2018,09/01/2020,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon: 6:30 AM-7:00 PM, Tue: 6:30 AM-7:00 PM, Wed: 6:30 AM-7:00 PM, Thu: 6:30 AM-7:00 PM, Fri: 6:30 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2018-2019_137,"(41.88347, -87.6342)",46,38,14914,92,36
2019-2020,104,41.8961,-87.6541,771 NORTH OGDEN AVENUE,,Chicago,IL,60622,United States of America,CVS/pharmacy,http://www.cvs.com,312-243-5590,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_104,"(41.8961, -87.6541)",49,25,22620,522,46
2018-2019,173,41.9169,-87.7323,4225 W ARMITAGE AVE,,Chicago,IL,60639,United States of America,Walgreens,http://www.Walgreens.com,773-235-1123,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2018-2019_173,"(41.9169, -87.7323)",2,21,22615,135,12
2015-2016,157,41.7502807,-87.6544662,1213 W 79TH ST,,CHICAGO,IL,60620,United States of America,Walgreens,http://www.Walgreens.com,773-651-2118,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,,2015-2016_157,"(41.7502807, -87.6544662)",59,70,21554,575,31
2017-2018,204,41.9402,-87.6446,3201 N BROADWAY ST,,CHICAGO,IL,60657,United States of America,Walgreens,http://www.Walgreens.com,773-327-3591,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2017-2018_204,"(41.9402, -87.6446)",22,57,4449,730,25
2014-2015,37,41.96685955,-87.64913504,4646 N MARINE DR,,CHICAGO,IL,60640,United States of America,46th Ward-Weiss Hospital,,773-878-4646,Chris Jessup,11/06/2014,11/06/2014,10:00:00,13:00:00,11/06/2014 10:00:00 AM,11/06/2014 01:00:00 PM,Thursday,,No limitations.,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2014-2015_37,"(41.96685955, -87.64913504)",15,31,22616,636,39
2017-2018,257,41.89997,-87.62833,933 N STATE ST,,CHICAGO,IL,60610,United States of America,Walgreens,http://www.Walgreens.com,312-943-671,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,,2017-2018_257,"(41.89997, -87.62833)",54,37,14926,230,11
2014-2015,115,41.937799,-87.649499,3046 N HALSTED ST,,CHICAGO,IL,60657,United States of America,Walgreens,http://www.Walgreens.com,,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 8:00 AM-10:00 PM, Sun: 8:00 AM-10:00 PM",,,,2014-2015_115,"(41.937799, -87.649499)",22,57,4449,681,25
2014-2015,3,41.82315254,-87.68056215,2210 W PERSHING RD,,CHICAGO,IL,60609,United States of America,12th Ward-McKinley Park,,773-523-8250,Jennifer Nunez,10/03/2014,10/03/2014,10:00:00,15:00:00,10/03/2014 10:00:00 AM,10/03/2014 03:00:00 PM,Friday,,No limitations.,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2014-2015_3,"(41.82315254, -87.68056215)",37,56,14924,719,1
2018-2019,284,41.87972,-87.62462,122 S MICHIGAN AVE,,Chicago,IL,60603,United States of America,Walgreens,http://www.Walgreens.com,312-973-3708,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 7:00 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details.,,2018-2019_284,"(41.87972, -87.62462)",34,38,14311,367,36
2017-2018,182,41.9169,-87.7323,4225 W ARMITAGE AVE,,CHICAGO,IL,60639,United States of America,Walgreens,http://www.Walgreens.com,773-235-1123,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2017-2018_182,"(41.9169, -87.7323)",2,21,22615,135,12
2018-2019,275,41.9104,-87.67734,1601 N MILWAUKEE AVE,,Chicago,IL,60647,United States of America,Walgreens,http://www.Walgreens.com,773-342-9161,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,,2018-2019_275,"(41.9104, -87.67734)",4,25,21560,482,41
2017-2018,183,41.99598,-87.78803,6310 N NAGLE AVE,,CHICAGO,IL,60646,United States of America,Walgreens,http://www.Walgreens.com,773-774-2225,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 8:00 AM-10:00 PM, Sun: 8:00 AM-10:00 PM",,Call for details.,,2017-2018_183,"(41.99598, -87.78803)",17,36,22532,657,29
2016-2017,180,41.6848767,-87.6434094,833 W 115TH ST,,CHICAGO,IL,60643,United States of America,Walgreens,http://www.Walgreens.com,773-568-4034,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2016-2017_180,"(41.6848767, -87.6434094)",13,50,22212,642,22
2015-2016,281,41.89018,-87.63728,"344 WEST HUBBARD STREET, CORNER OF ORLEANS",,CHICAGO,IL,60654,United States of America,CVS/pharmacy,http://www.cvs.com,312-222-2570,,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-8:00 PM, Tue: 8:00 AM-8:00 PM, Wed: 8:00 AM-8:00 PM, Thu: 8:00 AM-8:00 PM, Fri: 8:00 AM-8:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2015-2016_281,"(41.89018, -87.63728)",55,37,4446,652,36
2019-2020,57,42.0117,-87.7053,3003 W. Touhy Ave.,,Chicago,IL,60645,United States of America,Bernard Horwich JCC,,,,11/10/2019,11/10/2019,10:00:00,14:00:00,11/10/2019 10:00:00 AM,11/10/2019 02:00:00 PM,Sunday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_57,"(42.0117, -87.7053)",12,20,22528,32,27
2015-2016,151,41.721899,-87.643799,9434 S HALSTED ST,,CHICAGO,IL,60620,United States of America,Walgreens,http://www.Walgreens.com,773-238-5648,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,,2015-2016_151,"(41.721899, -87.643799)",59,72,21554,151,13
2015-2016,72,41.6891382,-87.6208626,11255 S MICHIGAN AVE,,CHICAGO,IL,60628,United States of America,Roseland Community WIC,http://www.cityofchicago.org/city/en/depts/cdph/supp_info/clinical_health/immunizations_walk-inclinics.html,773-785-1173,,09/01/2014,09/01/2020,,,,,"Monday, Tuesday, Wednesday","Mondays, Tuesdays, Wednesdays: 8:00 AM to 3:30 PM. Closed 2nd Wed every month 12 to 4 PM",,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.  Closed 2nd Wed every month 12 to 4 PM,2015-2016_72,"(41.6891382, -87.6208626)",19,45,21861,253,43
2014-2015,250,41.79981,-87.59466,1228 EAST 53RD STREET,,CHICAGO,IL,60637,United States of America,CVS/pharmacy,http://www.cvs.com,773-752-1425,,09/01/2014,03/31/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2014-2015_250,"(41.79981, -87.59466)",10,8,21192,499,10
2015-2016,241,41.73545,-87.74051,8639 SOUTH CICERO AVENUE,,CHICAGO,IL,60652,United States of America,CVS/pharmacy,http://www.cvs.com,773-284-6332,,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2015-2016_241,"(41.73545, -87.74051)",8,69,4300,197,30
2016-2017,265,41.9973,-87.70062,2825 WEST DEVON AVENUE,,CHICAGO,IL,60659,United States of America,CVS/pharmacy,http://www.cvs.com,773-262-0900,,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2016-2017_265,"(41.9973, -87.70062)",50,20,4450,30,27
2018-2019,39,41.96847,-87.75872,5216 W. Lawrence Ave.,,Chicago,IL,60630,United States of America,45th Ward-Copernicus Center,,,,10/16/2018,10/16/2018,10:00:00,13:00:00,10/16/2018 10:00:00 AM,10/16/2018 01:00:00 PM,Tuesday,,,"No cost to individual. If insured, insurance will be billed.",,2018-2019_39,"(41.96847, -87.75872)",48,11,21869,129,50
2014-2015,242,41.78707,-87.66549,1620 WEST 59TH STREET,,CHICAGO,IL,60621,United States of America,CVS/pharmacy,http://www.cvs.com,773-471-3082,,09/01/2014,03/31/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2014-2015_242,"(41.78707, -87.66549)",23,65,22257,385,2
2017-2018,109,42.00066,-87.66107,6510 NORTH SHERIDAN ROAD,,Chicago,IL,60626,United States of America,CVS/pharmacy,http://www.cvs.com,773-338-4384,,10/01/2016,09/01/2020,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2017-2018_109,"(42.00066, -87.66107)",9,10,21853,48,5
2017-2018,199,41.8935,-87.6309,641 N CLARK ST,,CHICAGO,IL,60654,United States of America,Walgreens,http://www.Walgreens.com,312-587-1416,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2017-2018_199,"(41.8935, -87.6309)",55,37,4446,670,36
2019-2020,85,41.9654,-87.659,1145 W. Wilson Ave.,,Chicago,IL,60640,United States of America,Truman College - Family Flu Day,,,,10/19/2019,10/19/2019,9:00:00,14:00:00,10/19/2019 09:00:00 AM,10/19/2019 02:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_85,"(41.9654, -87.659)",15,31,22616,241,39
2016-2017,237,41.73545,-87.74051,8639 SOUTH CICERO AVENUE,,CHICAGO,IL,60652,United States of America,CVS/pharmacy,http://www.cvs.com,773-284-6332,,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2016-2017_237,"(41.73545, -87.74051)",8,69,4300,197,30
2015-2016,207,41.9104,-87.677343,1601 N MILWAUKEE AVE,,CHICAGO,IL,60647,United States of America,Walgreens,http://www.Walgreens.com,773-342-9161,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,,2015-2016_207,"(41.9104, -87.677343)",4,25,21560,482,41
2019-2020,217,41.9244,-87.7665,5600 W FULLERTON AVE,,Chicago,IL,60639,United States of America,Walgreens,http://www.Walgreens.com,773-745-1640,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2019-2020_217,"(41.9244, -87.7665)",2,19,22615,58,21
2016-2017,193,41.9317835,-87.6979694,2744 N CALIFORNIA AVE,,CHICAGO,IL,60647,United States of America,Walgreens,http://www.Walgreens.com,773-342-2818,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2016-2017_193,"(41.9317835, -87.6979694)",1,23,22535,548,40
2018-2019,22,41.89699,-87.68387,2238 W. Rice St.,,Chicago,IL,60622,United States of America,2nd Ward-St. Nicholas Ukrainian Rectory,,,,09/29/2018,09/29/2018,10:00:00,14:00:00,09/29/2018 10:00:00 AM,09/29/2018 02:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed.",,2018-2019_22,"(41.89699, -87.68387)",4,25,21560,541,11
2019-2020,168,41.7861,-87.7232,4000 W 59TH ST,,Chicago,IL,60629,United States of America,Walgreens,http://www.Walgreens.com,773-581-2345,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,,2019-2020_168,"(41.7861, -87.7232)",58,60,21867,773,15
2014-2015,209,41.94118415,-87.64892469,3245 N HALSTED ST,,CHICAGO,IL,60657,United States of America,Walgreens,http://www.Walgreens.com,773-248-3160,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: Closed, Sun: Closed",,,,2014-2015_209,"(41.94118415, -87.64892469)",22,57,4449,730,25
2019-2020,21,41.8777,-87.6922,2622 W. Jackson Blvd.,2nd Floor,Chicago,IL,60608,United States of America,28th Ward Office,,,,09/20/2019,09/20/2019,10:00:00,14:00:00,09/20/2019 10:00:00 AM,09/20/2019 02:00:00 PM,Friday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_21,"(41.8777, -87.6922)",28,28,21184,38,23
2019-2020,121,41.9035,-87.6678,1200 NORTH ASHLAND AVENUE,,Chicago,IL,60622,United States of America,CVS/pharmacy,http://www.cvs.com,773-342-5917,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_121,"(41.9035, -87.6678)",4,25,21560,481,41
2017-2018,227,41.7786,-87.7027,6315 S KEDZIE AVE,,CHICAGO,IL,60629,United States of America,Walgreens,http://www.Walgreens.com,773-776-4040,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 8:00 AM-10:00 PM",,Call for details.,,2017-2018_227,"(41.7786, -87.7027)",58,64,21867,319,31
2015-2016,92,41.925299,-87.666399,1520 W FULLERTON AVE,,CHICAGO,IL,60614,United States of America,Walgreens,http://www.Walgreens.com,773-929-6968,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2015-2016_92,"(41.925299, -87.666399)",16,68,21190,770,40
2015-2016,188,41.9685006,-87.72876,4010 W LAWRENCE AVE,,CHICAGO,IL,60630,United States of America,Walgreens,http://www.Walgreens.com,773-286-309,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: Midnight - Mindnight, Sat: Midnight - Mindnight, Sun: Midnight - Mindnight",,Call for details.,,2015-2016_188,"(41.9685006, -87.72876)",48,14,21869,751,38
2017-2018,61,41.7564,-87.7222,7500 S. Pulaski Rd.,,Chicago,IL,60652,United States of America,Daley College-Family Flu Day,,,,11/04/2017,11/04/2017,9:00:00,14:00:00,11/04/2017 09:00:00 AM,11/04/2017 02:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed. Earn 200 Park Points here! Obtenga 200 Puntos Para Los Parques de Chicago!",,2017-2018_61,"(41.7564, -87.7222)",8,63,4300,571,30
2018-2019,271,41.8962,-87.62227,225 E CHICAGO AVE,,Chicago,IL,60611,United States of America,Walgreens,http://www.Walgreens.com,312-573-2287,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-8:00 PM, Sat: Closed, Sun: Closed",,Call for details.,,2018-2019_271,"(41.8962, -87.62227)",6,37,21182,158,11
2015-2016,82,41.8441569,-87.7019104,3045 W 26TH ST,,CHICAGO,IL,60623,United States of America,Walgreens,http://www.Walgreens.com,773-254-3316,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2015-2016_82,"(41.8441569, -87.7019104)",57,32,21569,124,1
2014-2015,199,41.8845429,-87.62780267,151 N STATE ST,,CHICAGO,IL,60601,United States of America,Walgreens,http://www.Walgreens.com,312-863-4249,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,,,2014-2015_199,"(41.8845429, -87.62780267)",42,38,14309,580,36
2018-2019,226,41.8079,-87.6847,4710 S WESTERN AVE,,Chicago,IL,60609,United States of America,Walgreens,http://www.Walgreens.com,773-579-366,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-8:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2018-2019_226,"(41.8079, -87.6847)",56,55,22248,85,3
2015-2016,121,41.7571353,-87.6242235,11 E 75TH ST,,CHICAGO,IL,60619,United States of America,Walgreens,http://www.Walgreens.com,773-224-1211,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: Midnight - Mindnight, Sat: Midnight - Mindnight, Sun: Midnight - Mindnight",,Call for details.,,2015-2016_121,"(41.7571353, -87.6242235)",61,67,21546,475,32
2015-2016,57,41.86665,-87.7303,1158 S. Keeler Ave.,,Chicago,IL,60624,United States of America,24th Ward Office,,773-533-2400,Donna Holt,11/09/2015,11/09/2015,10:00:00,14:00:00,11/09/2015 10:00:00 AM,11/09/2015 02:00:00 PM,Monday,,,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2015-2016_57,"(41.86665, -87.7303)",30,30,21572,98,14
2018-2019,155,41.89666,-87.62407,757 N MICHIGAN AVE,,Chicago,IL,60611,United States of America,Walgreens,http://www.Walgreens.com,312-664-8686,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2018-2019_155,"(41.89666, -87.62407)",6,37,21182,158,11
2014-2015,141,41.737099,-87.605299,8628 S COTTAGE GROVE AVE,,CHICAGO,IL,60619,United States of America,Walgreens,http://www.Walgreens.com,773-651-8500,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: Midnight - Mindnight, Sat: Midnight - Mindnight, Sun: Midnight - Mindnight",,,,2014-2015_141,"(41.737099, -87.605299)",61,40,21546,140,32
2018-2019,1,41.7046,-87.5353,10500 S. Ewing Ave.,,Chicago,IL,60617,United States of America,10th Ward Office,,,,10/02/2018,10/02/2018,10:00:00,15:00:00,10/02/2018 10:00:00 AM,10/02/2018 03:00:00 PM,Tuesday,,,"No cost to individual. If insured, insurance will be billed.",,2018-2019_1,"(41.7046, -87.5353)",25,49,21202,602,47
2014-2015,188,41.97557894,-87.69269313,5158 N LINCOLN AVE,,CHICAGO,IL,60625,United States of America,Walgreens,http://www.Walgreens.com,773-907-8490,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,,,2014-2015_188,"(41.97557894, -87.69269313)",20,6,21849,28,24
2015-2016,239,41.969,-87.67948,4800 NORTH DAMEN AVENUE,,CHICAGO,IL,60625,United States of America,CVS/pharmacy,http://www.cvs.com,773-907-2010,,09/01/2014,09/01/2020,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2015-2016_239,"(41.969, -87.67948)",20,6,21849,106,18
2017-2018,17,41.85854,-87.66024,1645 S. Blue Island,,Chicago,IL,60608,United States of America,25th Ward Office,,,,09/29/2017,09/29/2017,11:00:00,14:00:00,09/29/2017 11:00:00 AM,09/29/2017 02:00:00 PM,Friday,,,"No cost to individual. If insured, insurance will be billed. Earn 200 Park Points here! Obtenga 200 Puntos Para Los Parques de Chicago!",,2017-2018_17,"(41.85854, -87.66024)",43,33,14920,365,26
